,Gender,Age,CategorizedAge,Geography,Balance,EstimatedSalary,CreditScore,CategorizedCreditScore,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
115,Female,30,Early Career Adults,Germany,132351.29,74169.13,628,Fair,2,Yes,9,Yes,No
116,Female,37,Mid-Career Adults,Germany,167864.4,115638.29,668,Fair,1,Yes,6,No,No
117,Female,41,Mid-Career Adults,France,0.0,31766.3,506,Poor,2,Yes,1,No,No
118,Female,31,Early Career Adults,Germany,107818.63,199725.39,524,Poor,1,Yes,8,No,Yes
119,Male,34,Early Career Adults,Germany,185173.81,120834.48,699,Good,2,Yes,4,No,No
120,Male,34,Early Career Adults,France,129433.34,38131.77,828,Exceptional,2,No,8,No,No
121,Male,39,Mid-Career Adults,Spain,120193.42,100130.95,674,Good,1,No,6,No,No
122,Female,39,Mid-Career Adults,France,0.0,141069.88,656,Fair,2,Yes,6,No,No
123,Female,48,Late Career Adults,Germany,126384.42,198129.36,684,Good,1,Yes,10,Yes,No
124,Female,28,Early Career Adults,France,0.0,183646.41,625,Fair,1,No,3,No,No
125,Male,42,Mid-Career Adults,France,152603.45,110265.24,432,Poor,1,Yes,9,No,Yes
126,Female,52,Late Career Adults,France,0.0,8636.05,549,Poor,1,No,1,Yes,Yes
127,Male,56,Near-Retirement Adults,Germany,148507.24,46824.08,625,Fair,1,Yes,0,No,Yes
128,Female,41,Mid-Career Adults,France,0.0,171378.77,828,Exceptional,2,Yes,7,No,No
129,Male,24,Young Adults,France,101827.07,167256.35,770,Very Good,1,Yes,9,No,No
130,Female,34,Early Career Adults,France,0.0,124226.16,758,Very Good,2,Yes,3,Yes,No
131,Female,33,Early Career Adults,Germany,130862.43,114935.21,795,Very Good,1,Yes,9,Yes,No
132,Male,38,Mid-Career Adults,France,122570.87,35608.88,687,Good,1,Yes,9,Yes,No
133,Male,25,Early Career Adults,France,0.0,16459.37,686,Good,2,No,1,Yes,No
134,Male,39,Mid-Career Adults,Germany,124828.46,124411.08,789,Very Good,2,Yes,7,Yes,No
135,Female,50,Late Career Adults,Germany,144895.05,34941.23,589,Fair,2,Yes,5,Yes,No
136,Female,34,Early Career Adults,Germany,63663.93,167784.28,461,Poor,1,No,5,Yes,No
137,Male,40,Mid-Career Adults,France,133463.1,93165.34,637,Fair,1,No,2,Yes,No
138,Female,48,Late Career Adults,Spain,213146.2,75161.25,584,Fair,1,Yes,2,No,Yes
139,Female,35,Mid-Career Adults,Spain,129490.36,8590.83,579,Poor,2,No,1,Yes,Yes
140,Male,44,Mid-Career Adults,Germany,137452.09,189543.9,756,Very Good,1,Yes,10,No,No
141,Male,34,Early Career Adults,France,0.0,180427.24,663,Fair,2,Yes,7,Yes,No
142,Female,43,Mid-Career Adults,France,125851.93,193318.33,682,Good,1,Yes,5,Yes,No
143,Male,52,Late Career Adults,Spain,0.0,159123.82,793,Very Good,1,Yes,2,No,Yes
144,Female,31,Early Career Adults,France,40915.55,126213.84,691,Good,1,Yes,5,No,Yes
145,Female,21,Young Adults,Spain,113157.22,54141.5,485,Poor,1,Yes,5,Yes,No
146,Female,29,Early Career Adults,Spain,138296.94,141075.51,635,Fair,2,Yes,8,No,No
147,Male,37,Mid-Career Adults,France,106967.18,24495.03,650,Fair,1,No,5,No,No
148,Male,44,Mid-Career Adults,France,120681.63,74836.34,735,Good,1,Yes,9,No,No
149,Male,32,Early Career Adults,France,0.0,878.87,416,Poor,2,No,0,Yes,No
150,Female,32,Early Career Adults,Spain,0.0,89520.75,754,Very Good,2,Yes,7,No,No
151,Female,48,Late Career Adults,France,0.0,149892.79,535,Poor,1,Yes,9,No,Yes
152,Male,42,Mid-Career Adults,Spain,0.0,180800.42,716,Good,2,Yes,8,No,No
153,Male,37,Mid-Career Adults,France,127609.59,98646.22,539,Poor,1,Yes,2,No,No
154,Female,43,Mid-Career Adults,France,0.0,109041.53,614,Fair,2,Yes,6,Yes,No
155,Male,57,Near-Retirement Adults,Spain,0.0,17941.16,706,Good,1,Yes,7,No,Yes
156,Female,33,Early Career Adults,France,0.0,82996.47,758,Very Good,2,No,7,No,No
157,Female,28,Early Career Adults,Spain,0.0,92067.35,586,Fair,2,Yes,2,Yes,No
158,Female,73,Retired Adults,France,97259.25,104719.66,646,Fair,1,No,6,Yes,No
159,Female,33,Early Career Adults,Germany,123246.7,112687.57,631,Fair,1,No,4,No,No
160,Female,22,Young Adults,Spain,101060.25,84699.56,717,Good,1,No,6,Yes,No
161,Male,30,Early Career Adults,France,0.0,83473.82,684,Good,2,Yes,2,No,No
162,Female,49,Late Career Adults,France,108007.36,47125.11,800,Exceptional,1,No,7,No,No
163,Female,36,Mid-Career Adults,Spain,0.0,106977.8,721,Good,2,Yes,2,Yes,No
164,Male,29,Early Career Adults,Spain,133702.89,55582.54,683,Good,1,Yes,0,No,Yes
165,Male,31,Early Career Adults,Germany,125189.75,139874.43,660,Fair,2,Yes,9,Yes,No
166,Female,24,Young Adults,Germany,113034.22,162503.48,704,Good,1,Yes,7,No,Yes
167,Female,41,Mid-Career Adults,Spain,109013.23,196499.96,615,Fair,1,Yes,9,No,No
168,Female,39,Mid-Career Adults,Spain,0.0,40721.24,667,Fair,2,Yes,2,No,Yes
169,Male,24,Young Adults,Germany,57929.81,53134.3,682,Good,2,No,9,No,No
170,Female,29,Early Career Adults,France,130114.39,164017.89,484,Poor,1,Yes,4,No,No
171,Male,27,Early Career Adults,Germany,95826.49,155996.96,628,Fair,2,Yes,5,No,No
172,Male,44,Mid-Career Adults,Germany,129608.57,5472.7,480,Poor,1,Yes,10,No,Yes
173,Male,30,Early Career Adults,France,169462.09,112187.11,578,Poor,1,Yes,4,No,No
174,Male,40,Mid-Career Adults,France,0.0,146457.83,512,Poor,2,Yes,5,Yes,No
175,Female,35,Mid-Career Adults,Spain,133868.21,27286.1,484,Poor,1,Yes,7,Yes,No
176,Female,30,Early Career Adults,France,0.0,130553.47,510,Poor,2,Yes,0,Yes,No
177,Male,36,Mid-Career Adults,Germany,190479.48,179351.89,606,Fair,2,No,5,No,No
178,Female,40,Mid-Career Adults,Spain,101993.12,94774.12,597,Fair,1,No,8,Yes,No
179,Female,55,Near-Retirement Adults,Germany,161608.81,8080.85,754,Very Good,1,Yes,3,No,Yes
180,Female,45,Late Career Adults,Spain,122311.21,19482.5,850,Exceptional,1,Yes,2,Yes,No
181,Male,65,Retired Adults,France,0.0,48071.61,510,Poor,2,Yes,2,Yes,No
182,Female,45,Late Career Adults,Germany,162150.42,174531.27,778,Very Good,2,Yes,1,No,No
183,Male,42,Mid-Career Adults,France,0.0,55470.78,636,Fair,2,Yes,2,Yes,No
184,Female,50,Late Career Adults,France,0.0,8546.87,804,Exceptional,1,Yes,4,Yes,Yes
185,Male,32,Early Career Adults,France,0.0,95857.18,514,Poor,2,Yes,8,No,No
186,Female,39,Mid-Career Adults,France,99010.67,194945.8,730,Good,1,Yes,1,No,No
187,Female,37,Mid-Career Adults,Spain,0.0,131521.72,525,Poor,1,No,0,Yes,No
188,Male,30,Early Career Adults,Spain,0.0,196108.51,616,Fair,2,No,5,Yes,No
189,Female,34,Early Career Adults,Germany,111388.18,148564.76,687,Good,2,Yes,7,No,No
190,Female,41,Mid-Career Adults,France,56214.85,92982.61,715,Good,2,No,8,No,Yes
191,Female,36,Mid-Career Adults,France,84327.77,17675.36,512,Poor,2,Yes,3,No,No
192,Male,40,Mid-Career Adults,France,0.0,114996.43,479,Poor,2,No,1,No,No
193,Male,32,Early Career Adults,France,93012.89,86957.42,601,Fair,1,Yes,8,No,No
194,Male,29,Early Career Adults,Spain,61710.44,128077.8,580,Fair,2,Yes,9,No,No
195,Male,35,Mid-Career Adults,France,174790.15,600.36,807,Exceptional,1,Yes,3,Yes,No
196,Female,32,Early Career Adults,Spain,0.0,43001.46,616,Fair,2,Yes,6,Yes,No
197,Male,37,Mid-Career Adults,Germany,107720.64,158591.12,721,Good,1,Yes,3,Yes,No
198,Male,57,Near-Retirement Adults,France,0.0,47847.19,501,Poor,2,Yes,10,Yes,No
199,Male,35,Mid-Career Adults,France,96423.84,10488.44,521,Poor,1,Yes,6,No,No
200,Male,30,Early Career Adults,Spain,141040.01,5978.2,850,Exceptional,1,Yes,2,Yes,No
201,Male,42,Mid-Career Adults,France,105420.18,121409.06,759,Very Good,1,No,4,Yes,No
202,Male,50,Late Career Adults,Spain,0.0,146145.93,516,Poor,1,No,5,Yes,Yes
203,Female,38,Mid-Career Adults,France,129022.06,14374.86,711,Good,2,Yes,2,Yes,Yes
204,Male,33,Early Career Adults,Spain,176666.62,94670.77,512,Poor,1,Yes,3,No,No
205,Male,37,Mid-Career Adults,France,0.0,179670.31,550,Poor,1,Yes,3,Yes,No
206,Female,41,Mid-Career Adults,Spain,89763.84,199304.74,608,Fair,1,No,3,No,Yes
207,Male,34,Early Career Adults,France,134954.53,151954.39,618,Fair,1,Yes,5,Yes,No
208,Male,45,Late Career Adults,France,0.0,142513.5,643,Fair,1,Yes,5,No,Yes
209,Male,45,Late Career Adults,France,106376.85,158264.62,671,Good,1,No,2,Yes,No
210,Male,33,Early Career Adults,Germany,161814.64,169381.9,689,Good,2,Yes,2,No,No
211,Male,31,Early Career Adults,France,0.0,169915.02,603,Fair,2,Yes,8,Yes,No
212,Female,41,Mid-Career Adults,France,0.0,88852.47,620,Fair,2,No,9,No,No
213,Female,34,Early Career Adults,France,63095.01,40645.81,676,Good,1,Yes,1,Yes,No
214,Male,26,Early Career Adults,Germany,118287.01,60427.3,572,Poor,2,No,4,No,No
215,Male,47,Late Career Adults,Germany,106854.21,157959.02,668,Fair,1,No,7,Yes,Yes
216,Male,46,Late Career Adults,France,49512.55,133007.34,695,Good,1,Yes,7,No,No
217,Female,33,Early Career Adults,Spain,0.0,176576.62,730,Good,2,No,9,No,No
218,Male,43,Mid-Career Adults,France,105799.32,34888.04,807,Exceptional,2,Yes,1,No,Yes
219,Male,54,Late Career Adults,France,0.0,28737.71,592,Fair,1,Yes,8,Yes,Yes
220,Female,31,Early Career Adults,France,114722.05,98178.57,726,Good,2,Yes,9,Yes,No
221,Male,30,Early Career Adults,Spain,0.0,125010.24,514,Poor,1,No,7,Yes,No
222,Male,42,Mid-Career Adults,France,0.0,167984.61,567,Poor,2,Yes,2,Yes,No
223,Male,33,Early Career Adults,France,0.0,4861.72,850,Exceptional,1,Yes,10,No,Yes
224,Male,45,Late Career Adults,Germany,99564.22,108872.45,671,Good,1,Yes,6,Yes,Yes
225,Male,37,Mid-Career Adults,France,170557.91,198252.88,670,Good,2,Yes,4,No,No
226,Female,30,Early Career Adults,France,0.0,26960.31,694,Good,2,Yes,9,Yes,No
227,Female,39,Mid-Career Adults,Germany,74596.15,85746.52,547,Poor,3,Yes,6,Yes,Yes
228,Male,50,Late Career Adults,Germany,96888.39,77206.25,751,Very Good,1,Yes,2,No,Yes
229,Female,29,Early Career Adults,Germany,130830.22,61048.53,594,Fair,1,Yes,3,No,No
230,Male,72,Retired Adults,France,0.0,111981.19,673,Good,2,No,1,Yes,No
231,Male,40,Mid-Career Adults,France,0.0,62232.6,610,Fair,2,Yes,0,No,No
232,Female,37,Mid-Career Adults,France,0.0,156105.03,512,Poor,2,No,1,Yes,No
233,Male,20,Young Adults,Germany,119714.25,150135.38,767,Very Good,2,No,3,Yes,No
234,Female,67,Retired Adults,France,113978.97,93146.11,585,Fair,2,No,5,Yes,No
235,Male,42,Mid-Career Adults,Germany,100160.75,33462.94,763,Very Good,1,Yes,6,No,Yes
236,Female,29,Early Career Adults,France,0.0,144375.0,712,Good,1,Yes,2,Yes,No
237,Female,43,Mid-Career Adults,Germany,116220.5,55803.96,539,Poor,3,Yes,3,No,Yes
238,Female,46,Late Career Adults,France,0.0,89048.46,668,Fair,3,Yes,2,No,Yes
239,Male,28,Early Career Adults,France,81173.83,162812.16,703,Good,2,No,2,Yes,No
240,Male,38,Mid-Career Adults,Spain,0.0,136259.65,662,Fair,2,Yes,4,No,No
241,Female,39,Mid-Career Adults,Germany,116803.8,124052.97,725,Good,1,Yes,5,No,No
242,Male,37,Mid-Career Adults,France,105961.68,74158.8,703,Good,2,No,8,Yes,No
243,Male,67,Retired Adults,Germany,117411.6,45071.09,659,Fair,1,Yes,6,Yes,Yes
244,Male,34,Early Career Adults,Spain,0.0,62030.06,523,Poor,2,Yes,7,No,No
245,Female,40,Mid-Career Adults,France,123497.58,131953.23,635,Fair,1,Yes,10,No,Yes
246,Male,26,Early Career Adults,Germany,152400.51,79414.0,772,Very Good,2,Yes,7,No,No
247,Female,26,Early Career Adults,France,0.0,199638.56,545,Poor,2,Yes,1,Yes,No
248,Male,24,Young Adults,Germany,103097.85,157577.29,634,Fair,1,Yes,8,Yes,No
249,Male,54,Late Career Adults,Germany,126418.14,134420.75,739,Good,1,Yes,8,No,Yes
250,Female,36,Mid-Career Adults,Germany,77846.9,99805.99,771,Very Good,1,No,5,No,No
251,Female,34,Early Career Adults,Spain,0.0,97932.68,587,Fair,2,Yes,1,Yes,No
252,Female,79,Retired Adults,France,0.0,170968.99,681,Good,2,No,0,Yes,No
253,Male,37,Mid-Career Adults,Germany,79731.91,57558.95,544,Poor,1,Yes,2,Yes,No
254,Male,28,Early Career Adults,Spain,0.0,176713.47,696,Good,1,No,8,No,No
255,Male,41,Mid-Career Adults,Spain,0.0,34283.23,766,Very Good,2,No,0,Yes,No
256,Male,34,Early Career Adults,France,0.0,198637.34,727,Good,2,Yes,10,Yes,No
257,Female,34,Early Career Adults,Germany,37266.67,156917.12,671,Good,2,No,6,No,No
258,Female,30,Early Career Adults,France,127992.25,50457.2,693,Good,1,Yes,6,Yes,No
259,Male,38,Mid-Career Adults,Germany,54901.01,140075.55,850,Exceptional,1,Yes,3,Yes,No
260,Male,42,Mid-Career Adults,Germany,108748.08,65323.11,732,Good,2,Yes,9,Yes,No
261,Female,48,Late Career Adults,Spain,99906.19,64323.24,726,Good,1,Yes,6,No,No
262,Female,32,Early Career Adults,France,184686.41,14956.44,557,Poor,2,Yes,6,No,No
263,Female,26,Early Career Adults,France,110654.02,111879.21,682,Good,1,No,0,Yes,No
264,Male,31,Early Career Adults,Spain,79019.8,18606.23,738,Good,1,Yes,9,Yes,No
265,Female,36,Mid-Career Adults,Spain,99240.51,123137.01,531,Poor,1,Yes,9,No,No
266,Male,34,Early Career Adults,France,0.0,148528.24,498,Poor,2,Yes,2,Yes,No
267,Male,36,Mid-Career Adults,France,0.0,13898.31,651,Fair,2,Yes,7,No,No
268,Female,39,Mid-Career Adults,Spain,0.0,81259.25,549,Poor,1,No,7,No,Yes
269,Female,35,Mid-Career Adults,Germany,52436.2,161051.75,791,Very Good,1,Yes,7,No,No
270,Male,41,Mid-Career Adults,Spain,0.0,191599.67,650,Fair,2,No,9,Yes,No
271,Male,34,Early Career Adults,Germany,100337.96,48559.19,733,Good,3,Yes,3,No,Yes
272,Female,34,Early Career Adults,Germany,149297.19,186339.74,811,Exceptional,2,Yes,1,Yes,No
273,Male,30,Early Career Adults,France,0.0,33159.37,707,Good,2,Yes,8,No,No
274,Male,28,Early Career Adults,Germany,145605.44,93883.53,712,Good,1,No,4,Yes,No
275,Female,37,Mid-Career Adults,Spain,0.0,110899.3,706,Good,2,Yes,7,Yes,No
276,Male,62,Near-Retirement Adults,France,0.0,11199.04,756,Very Good,1,Yes,3,Yes,Yes
277,Female,53,Late Career Adults,France,0.0,189992.97,777,Very Good,2,Yes,10,No,No
278,Male,35,Mid-Career Adults,France,84026.86,164255.69,646,Fair,1,No,6,Yes,No
279,Male,46,Late Career Adults,France,0.0,152167.79,714,Good,1,Yes,1,No,Yes
280,Male,39,Mid-Career Adults,France,0.0,33949.67,782,Very Good,2,Yes,8,Yes,No
281,Male,29,Early Career Adults,Spain,0.0,68143.93,775,Very Good,2,Yes,10,Yes,No
282,Male,35,Mid-Career Adults,Germany,138718.92,47251.79,479,Poor,1,Yes,4,Yes,Yes
283,Male,42,Mid-Career Adults,France,118274.71,25885.72,807,Exceptional,1,Yes,7,Yes,No
284,Female,22,Young Adults,France,174185.98,192633.85,799,Very Good,2,No,8,Yes,No
285,Male,40,Mid-Career Adults,France,113208.86,34577.36,675,Good,2,Yes,7,No,No
286,Male,29,Early Career Adults,Spain,103907.28,161229.84,602,Fair,1,Yes,5,No,No
287,Female,32,Early Career Adults,France,119023.28,100816.29,475,Poor,1,Yes,8,No,No
288,Female,26,Early Career Adults,Spain,166297.89,181694.44,744,Very Good,1,Yes,5,Yes,No
289,Male,34,Early Career Adults,Spain,0.0,79078.91,588,Fair,2,Yes,10,No,No
290,Male,42,Mid-Career Adults,Germany,63227.0,137316.32,703,Good,1,No,9,Yes,No
291,Female,41,Mid-Career Adults,Spain,94521.17,194926.86,747,Very Good,2,Yes,5,No,No
